sequence,original_filename,new_filename,description,html_alt_text
01,"Screenshot from 2026-08-15 11-31-01.png",qgis_01_opencode_gtfs_project_prompt.png,"OpenCode shows the large pasted prompt that initiated the Metro Vancouver GTFS project.","OpenCode start screen with a large project prompt pasted into the Build agent"
02,"Screenshot from 2026-08-15 11-59-49.png",qgis_02_opencode_gtfs_readme_output_diff.png,"OpenCode shows a README diff describing generated transit outputs while Phase 1 validation is active.","OpenCode showing a README diff for Metro Vancouver transit GeoJSON outputs with validation in progress"
03,"Screenshot from 2026-08-15 12-20-14.png",qgis_03_phase_one_dataset_provenance_report.png,"The Phase 1 completion report records the GTFS archive date size checksum and discovered tables.","Phase 1 report showing the TransLink GTFS archive date size checksum and discovered tables"
04,"Screenshot from 2026-08-15 12-20-21.png",qgis_04_phase_one_gtfs_statistics_and_outputs.png,"The Phase 1 report lists GTFS counts generated datasets and representative-route selection logic.","Phase 1 report listing GTFS statistics and generated datasets with record counts sizes and geometry types"
05,"Screenshot from 2026-08-15 12-20-27.png",qgis_05_phase_one_validation_and_feed_observations.png,"The final validation report summarizes passed checks and notable feed limitations including the one-point HandyDART shape.","Validation report showing passed GTFS checks and observations about route colors stop types and an invalid HandyDART shape"
06,"Screenshot from 2026-08-15 12-47-59.png",qgis_06_gitignore_extracted_gtfs_verification.png,"OpenCode verifies Git ignore rules for extracted GTFS data the virtual environment and Python caches.","OpenCode showing Git ignore verification for extracted GTFS data and local Python artifacts"
07,"Screenshot from 2026-08-15 13-04-19.png",qgis_07_qgis_version_and_ubuntu_environment.png,"A terminal verifies QGIS 3.44.13 and the Ubuntu 24.04 runtime environment before project work.","Ubuntu terminal showing QGIS 3.44.13 Solothurn and Ubuntu 24.04 environment details"
08,"Screenshot from 2026-08-15 13-15-30.png",qgis_08_initial_transit_layers_and_panels_view.png,"QGIS displays the first transit stop and route layers while the interface Panels menu is open.","QGIS showing initial Metro Vancouver transit points and lines with the View Panels menu open"
09,"Screenshot from 2026-08-15 13-18-02.png",qgis_09_raw_transit_stops_and_routes_over_openstreetmap.png,"The initial regional map shows dense raw transit stops over simplified routes and OpenStreetMap.","QGIS map of Metro Vancouver with dense purple transit stops over pink simplified routes on OpenStreetMap"
10,"Screenshot from 2026-08-15 13-25-19.png",qgis_10_line_symbol_layer_type_menu.png,"The line symbology dialog explores available symbol-layer types with Raster Line highlighted.","QGIS line symbology dialog with the symbol layer type menu open and Raster Line highlighted"
